error,dem_fp,generation,criterion,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,class_weight
0.32446808510638303,0.0021739130434782483,0,0.0,15,2,5,1000,1e-07,
0.3191489361702128,0.2456521739130435,0,1.0,15,2,5,1000,1e-07,
0.35106382978723405,0.0,0,0.8991445133222273,10,361,113,481,0.8260572528789061,0.424246487241161
0.35106382978723405,0.0,0,0.40162053673315157,14,86,220,443,0.7938623722646311,0.5531320928367005
0.35106382978723405,0.0,0,0.4743724861795736,13,157,133,600,0.8347521214697847,0.3343462902911103
0.35106382978723405,0.0,1,0.6832198101862524,11,250,123,514,0.8287773153573558,0.3608953894307467
0.35106382978723405,0.0,1,0.8991445133222273,10,361,113,481,0.8260572528789061,0.424246487241161
0.3191489361702128,0.2456521739130435,1,1.0,15,2,5,1000,1e-07,
0.32446808510638303,0.0021739130434782483,1,0.0,15,2,5,1000,1e-07,
0.35106382978723405,0.0,1,0.40162053673315157,14,86,220,443,0.7938623722646311,0.5531320928367005
0.35106382978723405,0.0,2,0.7405102193505363,10,287,116,495,0.8271816791648308,0.38184535413123255
0.35106382978723405,0.0,2,0.6832198101862524,11,250,123,514,0.8287773153573558,0.3608953894307467
0.3085106382978723,0.019565217391304346,2,0.36140759405069733,15,2,5,1000,1e-07,
0.32446808510638303,0.0021739130434782483,2,0.0,15,2,5,1000,1e-07,
0.35106382978723405,0.0,2,0.8991445133222273,10,361,113,481,0.8260572528789061,0.424246487241161
0.35106382978723405,0.0,3,0.7004145501360514,10,264,118,503,0.8276502982298725,0.36662382982224556
0.35106382978723405,0.0,3,0.7405102193505363,10,287,116,495,0.8271816791648308,0.38184535413123255
0.3085106382978723,0.019565217391304346,3,0.36140759405069733,15,2,5,1000,1e-07,
0.32446808510638303,0.0021739130434782483,3,0.0,15,2,5,1000,1e-07,
0.35106382978723405,0.0,3,0.6832198101862524,11,250,123,514,0.8287773153573558,0.3608953894307467
0.35106382978723405,0.0,4,0.5160661207508519,12,81,50,739,0.31065683026773616,0.36662382982224556
0.35106382978723405,0.0,4,0.7004145501360514,10,264,118,503,0.8276502982298725,0.36662382982224556
0.3085106382978723,0.019565217391304346,4,0.36140759405069733,15,2,5,1000,1e-07,
0.32446808510638303,0.0021739130434782483,4,0.0,15,2,5,1000,1e-07,
0.35106382978723405,0.0,4,0.7405102193505363,10,287,116,495,0.8271816791648308,0.38184535413123255
